id,Calories
10001,157.08
10002,29.34
10003,53.1
10004,56.97
10005,172.72
10006,123.84
10007,12.77
10008,81.8
10009,28.5
10010,12.89
10011,66.32
10012,58.99
10013,172.11
10014,30.48
10015,55.95
10016,7.57
10017,219.5
10018,159.36
10019,125.1
10020,53.99
10021,41.3
10022,42.95
10023,16.66
10024,57.27
10025,87.21
10026,195.53
10027,14.01
10028,90.76
10029,116.64
10030,50.95
10031,67.3
10032,9.3
10033,182.24
10034,58.68
10035,3.3
10036,78.16
10037,195.48
10038,31.67
10039,113.03
10040,186.25
10041,201.69
10042,79.51
10043,49.8
10044,143.53
10045,97.03
10046,21.05
10047,12.66
10048,85.84
10049,165.77
10050,81.25
10051,24.03
10052,133.59
10053,121.65
10054,99.9
10055,63.06
10056,191.96
10057,45.12
10058,168.59
10059,34.83
10060,46.29
10061,212.07
10062,140.04
10063,7.13
10064,92.61
10065,231.75
10066,9.93
10067,213.9
10068,11.54
10069,139.86
10070,70.68
10071,70.5
10072,102.65
10073,149.04
10074,36.8
10075,92.33
10076,93.31
10077,131.3
10078,94.78
10079,140.71
10080,161.46
10081,128.32
10082,21.72
10083,8.22
10084,32.27
10085,19.6
10086,40.29
10087,166.45
10088,125.9
10089,81.11
10090,177.48
10091,9.99
10092,47.99
10093,21.38
10094,80.03
10095,95.64
10096,23.34
10097,131.39
10098,110.34
10099,3.5
10100,1.38
10101,104.59
10102,151.01
10103,58.26
10104,265.85
10105,101.06
10106,38.31
10107,9.77
10108,16.66
10109,23.57
10110,9.31
10111,44.37
10112,57.16
10113,155.18
10114,142.2
10115,65.63
10116,121.17
10117,50.93
10118,202.07
10119,157.24
10120,149.13
10121,27.74
10122,33.55
10123,21.7
10124,154.53
10125,87.6
10126,137.79
10127,144.71
10128,188.81
10129,183.33
10130,128.5
10131,53.52
10132,125.49
10133,46.8
10134,31.46
10135,102.88
10136,30.63
10137,10.86
10138,80.94
10139,107.15
10140,109.91
10141,164.02
10142,12.11
10143,48.56
10144,28.37
10145,167.34
10146,124.01
10147,111.68
10148,100.74
10149,54.18
10150,80.13
10151,6.82
10152,25.89
10153,159.57
10154,3.62
10155,116.18
10156,171.75
10157,189.9
10158,171.83
10159,40.98
10160,44.59
10161,56.49
10162,22.79
10163,81.47
10164,47.05
10165,65.45
10166,81.63
10167,28.03
10168,53.11
10169,140.02
10170,199.52
10171,35.32
10172,222.82
10173,42.65
10174,60.45
10175,111.17
10176,42.29
10177,94.67
10178,72.35
10179,161.7
10180,68.31
10181,42.85
10182,45.13
10183,18.33
10184,160.7
10185,185.97
10186,54.78
10187,7.22
10188,188.13
10189,87.25
10190,119.7
10191,85.92
10192,66.6
10193,82.91
10194,109.73
10195,215.87
10196,37.27
10197,72.21
10198,57.16
10199,51.92
10200,31.38
10201,94.68
10202,132.98
10203,26.69
10204,103.74
10205,180.57
10206,69.51
10207,110.93
10208,124.91
10209,38.09
10210,123.23
10211,37.26
10212,187.71
10213,22.94
10214,14.48
10215,103.53
10216,161.26
10217,91.87
10218,57.54
10219,16.37
10220,48.83
10221,70.04
10222,162.16
10223,26.79
10224,164.4
10225,144.84
10226,136.08
10227,29.97
10228,68.08
10229,30.9
10230,147.4
10231,27.81
10232,199.75
10233,33.18
10234,70.8
10235,12.91
10236,101.77
10237,49.59
10238,23.04
10239,50.23
10240,39.98
10241,145.07
10242,9.49
10243,16.49
10244,50.48
10245,22.37
10246,65.42
10247,39.06
10248,184.23
10249,18.2
10250,14.21
10251,69.6
10252,156.39
10253,122.21
10254,56.13
10255,153.84
10256,201.28
10257,90.38
10258,131.72
10259,131.46
10260,72.03
10261,172.92
10262,104.46
10263,147.43
10264,15.63
10265,112.14
10266,83.27
10267,109.22
10268,158.88
10269,13.27
10270,201.59
10271,183.77
10272,59.46
10273,254.36
10274,60.92
10275,55.62
10276,74.18
10277,152.64
10278,128.7
10279,33.13
10280,105.53
10281,77.61
10282,183.54
10283,75.55
10284,21.45
10285,124.05
10286,26.39
10287,20.25
10288,18.36
10289,74.95
10290,37.79
10291,91.55
10292,43.69
10293,153.56
10294,196.4
10295,107.21
10296,43.78
10297,172.97
10298,182.78
10299,17.45
10300,54.47
10301,5.99
10302,56.41
10303,17.13
10304,37.18
10305,109.75
10306,75.28
10307,9.71
10308,15.82
10309,131.69
10310,113.45
10311,4.38
10312,1.64
10313,172.26
10314,26.46
10315,151.15
10316,50.78
10317,113.28
10318,50.95
10319,52.21
10320,89.87
10321,135.28
10322,87.47
10323,14.77
10324,136.98
10325,59.87
10326,30.21
10327,22.28
10328,49.64
10329,219.26
10330,224.18
10331,69.46
10332,9.86
10333,103.97
10334,62.7
10335,106.54
10336,71.59
10337,60.35
10338,205.3
10339,19.62
10340,36.79
10341,2.97
10342,19.26
10343,179.31
10344,7.7
10345,22.91
10346,19.75
10347,60.89
10348,162.23
10349,50.39
10350,252.21
10351,206.33
10352,169.42
10353,86.52
10354,74.24
10355,94.7
10356,170.66
10357,148.64
10358,158.16
10359,199.63
10360,172.03
10361,87.7
10362,37.56
10363,79.62
10364,84.15
10365,199.34
10366,129.77
10367,85.34
10368,213.2
10369,167.56
10370,131.6
10371,8.65
10372,129.63
10373,158.4
10374,22.32
10375,41.94
10376,157.42
10377,107.57
10378,20.52
10379,45.88
10380,91.46
10381,152.37
10382,175.27
10383,170.52
10384,148.29
10385,150.2
10386,49.99
10387,56.33
10388,113.1
10389,147.86
10390,52.18
10391,122.6
10392,80.01
10393,79.12
10394,141.32
10395,63.03
10396,108.05
10397,136.01
10398,45.98
10399,105.49
10400,28.27
10401,149.49
10402,92.99
10403,183.71
10404,42.2
10405,47.06
10406,24.65
10407,126.13
10408,118.33
10409,136.31
10410,27.9
10411,105.53
10412,107.93
10413,117.42
10414,119.32
10415,175.19
10416,103.58
10417,10.79
10418,145.13
10419,42.41
10420,119.36
10421,122.24
10422,39.95
10423,116.63
10424,70.47
10425,12.04
10426,57.79
10427,14.2
10428,49.42
10429,91.21
10430,80.93
10431,151.58
10432,60.23
10433,88.85
10434,105.43
10435,79.58
10436,94.27
10437,192.7
10438,213.44
10439,12.47
10440,12.84
10441,138.46
10442,140.31
10443,60.92
10444,121.08
10445,67.94
10446,13.66
10447,218.51
10448,16.55
10449,100.44
10450,38.01
10451,144.75
10452,219.13
10453,79.33
10454,105.99
10455,32.04
10456,123.8
10457,153.93
10458,150.64
10459,151.34
10460,150.63
10461,30.76
10462,81.9
10463,49.19
10464,19.32
10465,65.93
10466,5.14
10467,107.58
10468,29.3
10469,177.17
10470,99.82
10471,56.67
10472,142.75
10473,9.29
10474,95.79
10475,28.74
10476,176.61
10477,111.44
10478,28.79
10479,63.94
10480,165.43
10481,113.37
10482,48.96
10483,34.61
10484,135.64
10485,181.37
10486,80.61
10487,53.79
10488,7.23
10489,34.5
10490,126.35
10491,142.27
10492,83.9
10493,7.96
10494,64.89
10495,8.22
10496,40.69
10497,211.32
10498,177.52
10499,190.12
10500,105.69
10501,10.83
