id,Calories
10001,156.63
10002,29.78
10003,51.89
10004,58.01
10005,171.71
10006,125.59
10007,14.07
10008,82.45
10009,27.61
10010,12.97
10011,66.18
10012,60.62
10013,173.41
10014,30.46
10015,56.87
10016,7.31
10017,217.76
10018,158.09
10019,124.33
10020,53.2
10021,40.96
10022,42.92
10023,17.1
10024,56.49
10025,90.06
10026,197.84
10027,14.26
10028,92.31
10029,115.23
10030,53.21
10031,69.52
10032,9.79
10033,185.19
10034,60.87
10035,3.44
10036,78.57
10037,198.45
10038,32.37
10039,114.63
10040,192.34
10041,201.84
10042,79.56
10043,49.57
10044,142.87
10045,93.81
10046,21.3
10047,11.95
10048,86.33
10049,163.31
10050,79.52
10051,23.77
10052,132.75
10053,119.09
10054,100.7
10055,65.73
10056,191.66
10057,49.99
10058,169.85
10059,34.64
10060,46.66
10061,213.12
10062,139.38
10063,6.91
10064,92.41
10065,230.26
10066,10.16
10067,217.86
10068,11.33
10069,139.35
10070,69.09
10071,70.95
10072,104.19
10073,147.45
10074,36.46
10075,93.19
10076,92.1
10077,132.33
10078,93.95
10079,141.46
10080,159.31
10081,128.42
10082,21.13
10083,8.36
10084,33.01
10085,20.17
10086,40.04
10087,164.71
10088,129.15
10089,82.8
10090,184.74
10091,10.11
10092,48.48
10093,21.26
10094,80.74
10095,95.9
10096,24.58
10097,130.3
10098,110.01
10099,3.85
10100,1.4
10101,103.84
10102,150.75
10103,58.42
10104,262.63
10105,101.1
10106,37.81
10107,10.0
10108,16.39
10109,24.54
10110,8.94
10111,42.55
10112,56.95
10113,157.35
10114,144.52
10115,66.29
10116,119.26
10117,49.51
10118,201.62
10119,154.71
10120,147.7
10121,28.33
10122,34.25
10123,22.26
10124,156.17
10125,85.62
10126,137.16
10127,142.56
10128,188.75
10129,184.84
10130,128.54
10131,55.29
10132,124.66
10133,45.58
10134,31.36
10135,104.01
10136,30.79
10137,11.46
10138,81.52
10139,106.68
10140,113.02
10141,164.72
10142,12.36
10143,47.84
10144,29.03
10145,164.68
10146,123.73
10147,110.7
10148,102.67
10149,56.24
10150,79.05
10151,6.48
10152,26.38
10153,161.76
10154,4.43
10155,116.97
10156,174.93
10157,189.85
10158,171.58
10159,44.43
10160,42.82
10161,58.32
10162,23.34
10163,80.87
10164,46.58
10165,65.9
10166,79.53
10167,28.18
10168,55.08
10169,140.21
10170,199.01
10171,35.1
10172,222.97
10173,41.19
10174,60.84
10175,111.2
10176,42.1
10177,91.04
10178,76.12
10179,165.38
10180,68.85
10181,42.43
10182,45.53
10183,18.41
10184,164.12
10185,185.17
10186,54.9
10187,7.14
10188,189.21
10189,90.04
10190,117.26
10191,86.11
10192,67.83
10193,81.3
10194,109.86
10195,218.17
10196,36.86
10197,72.49
10198,58.91
10199,50.65
